Date,Open,High,Low,Close,Volume
01/29/2024,"105.00","105.00","99.00","100.00","596,100"
01/26/2024,"116.25","116.25","100.00","104.50","60,500"
01/25/2024,"119.75","120.00","118.00","118.25","5,700"
01/24/2024,"115.00","120.00","115.00","116.50","9,700"
01/23/2024,"117.00","117.00","117.00","117.00","1,200"
01/22/2024,"118.00","123.00","115.25","117.00","900"
01/19/2024,"118.00","118.00","118.00","118.00","3,200"
01/18/2024,"118.00","124.75","118.00","120.00","263,800"
01/17/2024,"120.00","120.00","119.00","119.75","2,700"
01/16/2024,"120.00","125.00","119.00","121.75","17,800"
01/15/2024,"120.00","120.00","119.00","120.00","13,000"
01/12/2024,"120.00","120.00","119.50","120.00","8,300"
01/11/2024,"121.00","121.00","120.00","120.75","4,600"
01/10/2024,"121.00","123.50","121.00","121.00","78,600"
01/09/2024,"123.00","123.50","121.00","122.00","6,900"
01/08/2024,"124.00","125.00","122.00","123.75","2,100"
01/05/2024,"125.00","125.00","121.00","122.50","3,400"
01/04/2024,"123.00","123.00","123.00","123.00","1,300"
01/03/2024,"125.00","125.00","120.00","120.50","2,600"
01/02/2024,"125.00","125.25","113.00","116.25","3,000"
12/29/2023,"114.00","114.00","114.00","114.00","1,100"
12/28/2023,"115.00","115.00","113.00","114.25","1,500"
12/27/2023,"114.00","118.00","114.00","115.00","1,100"
12/22/2023,"114.00","114.00","114.00","114.00","1,000"
12/21/2023,"108.50","110.00","108.00","108.00","305,500"
12/20/2023,"109.00","109.00","108.50","108.50","76,600"
12/19/2023,"110.00","110.00","108.00","109.50","17,000"
12/18/2023,"112.00","112.00","109.00","109.75","7,700"
12/15/2023,"112.00","112.00","110.00","111.00","10,900"
12/14/2023,"112.00","112.00","111.25","111.50","21,500"
12/13/2023,"112.00","112.00","111.50","111.75","17,200"
12/11/2023,"111.75","112.00","111.50","112.00","7,500"
12/08/2023,"111.75","112.00","111.00","111.75","12,600"
12/07/2023,"112.25","112.25","111.25","112.00","264,300"
12/06/2023,"112.00","112.50","112.00","112.25","13,600"
12/04/2023,"113.00","113.00","111.25","112.00","14,300"
12/01/2023,"114.00","114.00","113.00","113.75","5,000"
11/30/2023,"113.25","114.00","112.25","113.25","4,200"
11/29/2023,"112.25","114.00","112.00","114.00","141,800"
11/28/2023,"114.00","114.00","112.25","113.50","19,400"
11/27/2023,"114.00","114.75","114.00","114.25","10,000"
11/24/2023,"114.75","115.00","114.00","114.75","6,200"
11/23/2023,"114.25","114.25","113.50","114.00","606,500"
11/22/2023,"117.00","117.00","114.00","114.25","9,600"
11/21/2023,"115.00","115.00","114.75","114.75","41,000"
11/20/2023,"115.00","115.00","113.00","114.25","7,700"
11/17/2023,"113.00","117.00","111.00","113.75","7,400"
11/16/2023,"117.50","117.75","111.00","112.50","93,300"
11/15/2023,"119.00","119.00","117.00","117.75","37,600"
11/14/2023,"119.00","119.75","114.25","117.75","1,400"
11/10/2023,"118.50","120.00","115.00","119.00","4,800"
11/09/2023,"125.00","125.00","114.00","118.50","2,600"
11/08/2023,"122.75","123.00","121.00","122.00","1,100"
11/07/2023,"120.00","122.00","115.00","120.00","2,900"
11/06/2023,"126.00","126.00","120.00","121.25","20,300"
11/03/2023,"126.00","127.00","126.00","126.00","1,500"
11/02/2023,"126.00","126.00","120.50","123.00","145,400"
11/01/2023,"127.00","127.00","126.25","126.50","1,200"
10/31/2023,"128.00","128.00","126.00","126.75","1,400"
10/30/2023,"128.00","128.50","126.25","127.00","10,900"
10/27/2023,"132.00","132.00","127.00","128.50","16,900"
10/26/2023,"133.00","133.00","131.50","131.50","7,900"
10/25/2023,"134.00","134.00","132.00","132.25","600"
10/24/2023,"134.00","134.00","130.00","131.50","3,300"
10/23/2023,"134.00","134.00","131.00","131.75","3,300"
10/19/2023,"130.00","135.00","130.00","132.25","2,600"
10/18/2023,"135.00","135.00","135.00","135.00","1,700"
10/17/2023,"130.00","130.00","130.00","130.00","2,300"
10/16/2023,"130.00","130.00","128.00","129.25","1,100"
10/13/2023,"130.00","130.00","124.00","126.00","4,400"
10/12/2023,"130.25","130.25","130.00","130.00","600"
10/11/2023,"131.00","131.00","120.00","120.25","283,900"
10/09/2023,"132.00","132.00","126.00","130.25","800"
10/06/2023,"132.00","132.00","120.00","124.00","6,800"
10/05/2023,"132.00","132.00","131.50","131.75","3,900"
10/04/2023,"131.50","132.00","131.00","131.50","600"
10/03/2023,"132.00","132.00","120.00","124.00","8,900"
10/02/2023,"132.00","132.00","131.00","131.75","2,500"
09/29/2023,"131.00","131.00","131.00","131.00","1,000"
09/28/2023,"130.00","131.00","129.00","129.25","1,500"
09/27/2023,"130.00","130.00","125.50","129.25","7,000"
09/26/2023,"131.00","131.00","130.00","130.00","31,100"
09/25/2023,"133.25","133.25","130.00","130.75","1,900"
09/22/2023,"133.00","133.00","130.00","131.00","1,800"
09/21/2023,"132.00","133.75","131.00","133.25","11,800"
09/20/2023,"134.00","135.00","132.00","134.00","8,200"
09/19/2023,"135.00","135.00","132.00","134.00","4,000"
09/18/2023,"130.00","130.00","130.00","130.00","400"
09/15/2023,"136.00","136.00","130.00","130.00","15,500"
09/14/2023,"131.00","131.00","131.00","131.00","100"
09/13/2023,"138.00","138.00","130.50","130.75","20,800"
09/12/2023,"130.00","131.00","130.00","130.50","16,700"
09/11/2023,"130.25","132.00","130.00","130.50","4,800"
09/08/2023,"131.00","131.00","130.25","130.75","3,900"
09/07/2023,"134.00","134.00","129.00","130.00","9,600"
09/06/2023,"135.00","135.00","130.00","131.00","5,000"
09/05/2023,"138.75","138.75","132.00","134.25","12,400"
09/04/2023,"135.00","139.75","132.00","134.25","9,200"
09/01/2023,"142.00","142.00","132.00","135.50","4,100"
08/31/2023,"135.00","140.00","130.00","135.25","38,800"
08/30/2023,"137.00","137.00","132.00","134.75","8,500"
08/29/2023,"132.00","135.00","126.25","132.75","2,800"
08/28/2023,"135.00","135.00","126.25","134.75","3,200"
08/25/2023,"135.00","135.00","132.00","134.25","400"
08/24/2023,"135.00","135.00","134.75","135.00","1,400"
08/23/2023,"126.00","126.00","126.00","126.00","2,600"
