Date,Open,High,Low,Close,Volume
01/29/2024,"91.88","93.08","91.50","93.06","413,522"
01/26/2024,"91.24","92.24","90.68","91.90","569,309"
01/25/2024,"90.70","91.14","90.32","90.72","364,111"
01/24/2024,"91.04","91.40","90.72","90.74","488,252"
01/23/2024,"91.34","91.82","90.70","91.16","414,176"
01/22/2024,"91.98","92.22","91.12","91.40","332,636"
01/19/2024,"91.58","91.90","91.10","91.46","320,523"
01/18/2024,"92.14","92.36","90.94","91.10","407,380"
01/17/2024,"93.00","93.24","91.80","92.42","353,592"
01/16/2024,"92.66","93.46","92.48","93.46","369,745"
01/15/2024,"93.38","93.60","93.02","93.52","219,294"
01/12/2024,"93.50","93.80","92.30","93.08","306,774"
01/11/2024,"91.20","93.02","91.04","93.02","472,983"
01/10/2024,"90.80","91.28","90.34","91.04","375,370"
01/09/2024,"90.14","91.12","89.96","90.80","394,516"
01/08/2024,"89.72","90.18","89.70","90.18","278,027"
01/05/2024,"89.46","89.68","88.44","89.68","492,406"
01/04/2024,"90.30","91.40","90.16","90.22","373,843"
01/03/2024,"91.48","92.04","90.54","90.64","435,992"
01/02/2024,"92.18","92.28","90.02","91.06","433,008"
12/29/2023,"91.86","92.24","91.70","91.94","200,956"
12/28/2023,"92.32","92.62","91.82","91.84","267,529"
12/27/2023,"91.24","92.10","91.22","92.10","296,672"
12/22/2023,"91.16","91.98","91.04","91.78","304,901"
12/21/2023,"91.32","91.70","90.90","91.14","405,287"
12/20/2023,"91.46","92.24","91.28","91.74","503,287"
12/19/2023,"90.96","91.64","90.82","91.38","520,326"
12/18/2023,"90.34","91.24","90.12","90.94","602,461"
12/15/2023,"90.76","91.00","90.10","90.56","866,253"
12/14/2023,"89.64","91.68","89.62","91.10","810,295"
12/13/2023,"87.70","89.06","87.24","88.76","774,546"
12/12/2023,"87.20","88.48","87.06","87.76","620,597"
12/11/2023,"87.30","88.32","87.24","87.42","486,476"
12/08/2023,"86.76","88.22","86.60","87.48","482,006"
12/07/2023,"85.82","87.10","85.66","86.90","625,137"
12/06/2023,"84.38","86.06","84.00","85.70","913,375"
12/05/2023,"84.32","84.66","83.64","84.36","419,165"
12/04/2023,"83.50","84.60","83.50","84.36","463,506"
12/01/2023,"83.82","83.84","82.76","83.40","601,594"
